Sales,Count of Region
12.96,56
15.552,39
19.44,39
10.368,36
25.92,36
32.4,28
6.48,21
17.94,21
20.736,19
14.94,17
11.52,14
10.272,13
45.36,13
5.76,12
8.64,12
14.62,12
31.104,12
39.96,12
5.04,11
5.184,11
13.12,11
13.36,11
14.352,11
38.88,11
5.56,10
9.96,10
11.56,10
11.76,10
24.56,10
47.984,10
61.96,10
64.96,10
71.976,10
89.97,10
6.16,9
7.38,9
7.968,9
8.56,9
9.84,9
11.68,9
11.952,9
11.96,9
12.39,9
14.76,9
16.52,9
23.92,9
31.984,9
59.52,9
74.352,9
83.92,9
239.97,9
5.248,8
8.26,8
8.448,8
10.56,8
15.92,8
18.24,8
18.9,8
22.96,8
26.4,8
28.4,8
35.168,8
36.288,8
37.94,8
41.96,8
44.4,8
99.98,8
302.376,8
4.608,7
4.928,7
5.344,7
6.24,7
6.848,7
9.82,7
10.688,7
11.36,7
11.808,7
12.672,7
15.936,7
17.12,7
17.48,7
18.84,7
19.92,7
20.04,7
20.7,7
21.4,7
22.72,7
25.344,7
33.568,7
35.88,7
47.952,7
49.12,7
51.84,7
59.97,7
79.96,7
87.92,7
104.85,7
119.96,7
123.92,7
149.95,7
199.98,7
239.976,7
2.88,6
3.168,6
3.52,6
3.76,6
3.984,6
4.448,6
5.28,6
5.904,6
6.096,6
6.63,6
6.672,6
6.912,6
7.16,6
7.872,6
7.92,6
7.98,6
8.544,6
8.72,6
8.82,6
8.856,6
11.12,6
11.648,6
12.84,6
13.392,6
13.98,6
14.4,6
14.7,6
14.73,6
15.24,6
15.28,6
15.84,6
16.74,6
17.52,6
17.9,6
19.98,6
23.68,6
23.976,6
25.06,6
29.9,6
37.68,6
41.86,6
44.75,6
45.68,6
49.568,6
51.75,6
64.784,6
79.92,6
91.96,6
105.52,6
141.96,6
154.9,6
159.98,6
166.44,6
180.96,6
201.584,6
242.94,6
263.96,6
301.96,6
479.97,6
479.984,6
2.946,5
3.15,5
3.564,5
4.36,5
5.88,5
5.98,5
6.368,5
6.56,5
7.3,5
7.712,5
7.992,5
8.016,5
8.928,5
9.24,5
9.248,5
9.344,5
9.64,5
9.912,5
10.86,5
10.9,5
10.95,5
11.16,5
11.784,5
12.42,5
12.6,5
13.9,5
13.904,5
14.56,5
14.9,5
15.984,5
16.56,5
17.04,5
17.088,5
17.34,5
17.46,5
17.472,5
19.68,5
21.36,5
22.92,5
23.12,5
24.448,5
26.72,5
29.6,5
30.56,5
31.44,5
31.56,5
31.68,5
35,5
36.4,5
39.92,5
39.98,5
40.68,5
40.74,5
41.4,5
43.92,5
54.9,5
59.94,5
59.98,5
60.12,5
67.8,5
71.96,5
77.952,5
79.36,5
81.96,5
84.784,5
90.48,5
91.36,5
92.94,5
105.584,5
106.32,5
111.96,5
122.97,5
129.92,5
146.73,5
146.82,5
149.97,5
158.376,5
159.984,5
161.568,5
195.64,5
218.352,5
244.55,5
332.94,5
339.96,5
354.9,5
377.97,5
389.97,5
431.976,5
503.96,5
542.94,5
603.92,5
629.95,5
1.344,4
2.624,4
2.688,4
2.78,4
2.896,4
3.488,4
3.64,4
3.96,4
4.224,4
4.368,4
4.768,4
4.896,4
4.98,4
5.78,4
5.84,4
5.94,4
6.08,4
6.264,4
6.72,4
7.04,4
7.56,4
7.78,4
7.83,4
8.34,4
8.4,4
8.96,4
9.216,4
9.45,4
9.552,4
10.08,4
10.776,4
10.896,4
11.07,4
11.34,4
11.54,4
12.224,4
13.48,4
13.76,4
13.96,4
14.016,4
14.368,4
14.952,4
15.696,4
15.712,4
15.992,4
16.4,4
16.68,4
16.9,4
17.64,4
